"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/1997","201.7335","197.5146","203.8038","194.2411","","3.05%"
"08/01/1997","195.7684","194.5230","197.9974","190.9203","","1.81%"
"07/01/1997","192.2873","185.5789","192.2873","181.1499","","3.84%"
"06/01/1997","185.1689","195.5138","195.5138","182.5341","","-6.18%"
"05/01/1997","197.3687","196.7891","202.9404","193.9964","","0.31%"
"04/01/1997","196.7678","191.3600","196.7678","186.5516","","2.25%"
"03/01/1997","192.4289","188.8339","196.3189","188.8339","","1.91%"
"02/01/1997","188.8185","203.8218","205.3196","188.6945","","-7.85%"
"01/01/1997","204.9099","217.0707","228.8586","204.9099","","-4.81%"
"12/01/1996","215.2563","218.8679","228.4117","211.4646","","-1.70%"
"11/01/1996","218.9817","203.7491","220.0094","202.2481","","6.86%"
"10/01/1996","204.9208","204.3093","213.4756","204.1500","","-0.14%"
"09/01/1996","205.2159","201.1110","206.1821","199.0708","","3.38%"
"08/01/1996","198.5151","198.7488","204.1453","196.5199","","1.98%"
"07/01/1996","194.6520","207.5215","211.0129","192.5204","","-5.75%"
"06/01/1996","206.5216","203.5239","206.5216","199.4194","","1.30%"
"05/01/1996","203.8712","209.9898","212.0257","203.8712","","-2.61%"
"04/01/1996","209.3274","209.2467","216.6828","207.7418","","1.29%"
"03/01/1996","206.6640","195.4975","209.1285","193.6818","","4.54%"
"02/01/1996","197.6960","194.9348","199.2238","189.5035","","0.45%"
"01/01/1996","196.8141","207.4250","208.8923","183.8825","","-3.28%"
"12/01/1995","203.4971","189.6976","206.7909","189.6976","","8.29%"
"11/01/1995","187.9269","183.5260","189.6052","183.5260","","2.63%"
"10/01/1995","183.1156","182.8375","183.1156","178.2145","","1.12%"
"09/01/1995","181.0815","181.5780","184.4710","180.1449","","0.31%"
"08/01/1995","180.5308","175.5394","180.5308","174.6524","","1.80%"
"07/01/1995","177.3371","174.2289","177.3371","171.8471","","1.63%"
"06/01/1995","174.4889","182.0874","183.3169","174.4889","","-3.49%"
"05/01/1995","180.8068","185.0587","185.7908","179.4222","","-1.54%"
"04/01/1995","183.6347","179.1509","184.3021","179.1509","","2.56%"
"03/01/1995","179.0597","176.2208","179.8988","174.3175","","1.10%"
"02/01/1995","177.1083","176.1450","178.4646","174.4060","","0.63%"
"01/01/1995","176.0039","178.6776","179.2470","173.9222","","-2.63%"
"12/01/1994","180.7578","174.1751","180.7578","170.8985","","3.19%"
"11/01/1994","175.1664","180.4971","180.7888","175.1664","","-2.16%"
"10/01/1994","179.0360","171.2233","180.2436","169.9872","","4.45%"
"09/01/1994","171.4158","170.3351","173.2863","169.0443","","0.68%"
"08/01/1994","170.2628","183.9851","183.9851","168.5162","","-6.72%"
"07/01/1994","182.5207","180.5738","182.5207","175.6787","","1.35%"
"06/01/1994","180.0834","175.5542","184.3707","173.2981","","1.88%"
"05/01/1994","176.7601","174.2991","177.4535","172.5194","","1.26%"
"04/01/1994","174.5563","174.4247","176.5996","171.8223","","2.45%"
"03/01/1994","170.3859","171.1877","172.8422","167.6031","","-0.49%"
"02/01/1994","171.2320","180.8500","181.8524","170.1435","","-3.45%"
"01/01/1994","177.3524","164.5262","177.3524","164.5262","","8.44%"
"12/01/1993","163.5542","165.6624","166.8143","162.2670","","-0.92%"
"11/01/1993","165.0651","173.0772","174.9963","165.0651","","-3.71%"
"10/01/1993","171.4164","177.3321","179.6971","171.4164","","-3.35%"
